signal,operating_point,selected_k,sigma_rel,noise_replicate,direction,regime,dimension,phasec_representability_threeway,aggregation_scope,n_cells,structure_denominator_exact_cells,structure_hit_raw_count,structure_hit_raw_rate,structure_hit_pruned_count,structure_hit_pruned_rate,diverged_or_nonfinite_count,r2_finite_nondiverged_count,r2_gt_0_9_count,r2_gt_0_9_rate_over_cells,r2_median_valid,r2_q000_finite_nondiverged,r2_q025_finite_nondiverged,r2_q075_finite_nondiverged,r2_q100_finite_nondiverged
fd,bic,1,0.05,2,IC1_to_IC2,generalization,1,exact,dimension_by_phasec_representability_threeway,5,5,1,0.2,1,0.2,0,5,2,0.4,0.27321913308750645,-850.589850182363,-88.83909360849007,0.9004427694369449,0.9995611409666811
fd,bic,1,0.05,2,IC1_to_IC2,generalization,1,surrogate:eq1_not_representable,dimension_by_phasec_representability_threeway,8,0,0,,0,,0,8,0,0.0,-0.5169748817573525,-9.271826153131245,-3.0193318694033113,0.5966837755377279,0.8596032388621123
fd,bic,1,0.05,2,IC1_to_IC2,generalization,2,exact,dimension_by_phasec_representability_threeway,2,2,1,0.5,1,0.5,0,2,2,1.0,0.9839024015294767,0.9800903995634003,0.9819964005464386,0.9858084025125149,0.9877144034955532
fd,bic,1,0.05,2,IC1_to_IC2,generalization,2,surrogate:eq1_not_representable,dimension_by_phasec_representability_threeway,3,0,0,,0,,0,3,0,0.0,-0.03689441033625218,-7.576173559036496,-3.806533984686374,0.19110966620622744,0.41911374274870705
fd,bic,1,0.05,2,IC1_to_IC2,generalization,2,surrogate:eq2_not_representable,dimension_by_phasec_representability_threeway,2,0,0,,0,,0,2,0,0.0,0.20141322226957026,0.09914934019703142,0.15028128123330084,0.25254516330583965,0.3036771043421091
fd,bic,1,0.05,2,IC1_to_IC2,reconstruction,1,exact,dimension_by_phasec_representability_threeway,5,5,1,0.2,1,0.2,0,5,2,0.4,0.7158687934605237,0.5129194132673842,0.6043078058860527,0.960958147106527,0.9973431197490572
fd,bic,1,0.05,2,IC1_to_IC2,reconstruction,1,surrogate:eq1_not_representable,dimension_by_phasec_representability_threeway,8,0,0,,0,,0,8,3,0.375,0.8672832894379797,0.5239392639398984,0.7830883955513634,0.93527757750397,0.9593955412254951
fd,bic,1,0.05,2,IC1_to_IC2,reconstruction,2,exact,dimension_by_phasec_representability_threeway,2,2,1,0.5,1,0.5,0,2,2,1.0,0.9806384387861492,0.963647317669615,0.972142878227882,0.9891339993444164,0.9976295599026834
fd,bic,1,0.05,2,IC1_to_IC2,reconstruction,2,surrogate:eq1_not_representable,dimension_by_phasec_representability_threeway,3,0,0,,0,,0,3,0,0.0,0.7490032624600007,0.7001274933519689,0.7245653779059849,0.7999895869514896,0.8509759114429785
fd,bic,1,0.05,2,IC1_to_IC2,reconstruction,2,surrogate:eq2_not_representable,dimension_by_phasec_representability_threeway,2,0,0,,0,,0,2,1,0.5,0.7653455752221299,0.5402155419908076,0.6527805586064687,0.877910591837791,0.9904756084534521
fd,bic,1,0.05,2,IC2_to_IC1,generalization,1,exact,dimension_by_phasec_representability_threeway,3,3,1,0.3333333333333333,1,0.3333333333333333,0,3,1,0.3333333333333333,0.8011318912419615,-0.47377606626038227,0.16367791249078956,0.8972590669161824,0.9933862425904033
fd,bic,1,0.05,2,IC2_to_IC1,generalization,1,surrogate:eq1_not_representable,dimension_by_phasec_representability_threeway,7,0,0,,0,,0,7,0,0.0,0.36199406003966916,-1091.050143800369,-8.109316603309697,0.3942848671519376,0.8769538101170452
fd,bic,1,0.05,2,IC2_to_IC1,generalization,2,exact,dimension_by_phasec_representability_threeway,3,3,1,0.3333333333333333,1,0.3333333333333333,0,3,1,0.3333333333333333,-0.08681086806503902,-4.2097332346615355,-2.1482720513632874,0.4452831314253949,0.9773771309158288
fd,bic,1,0.05,2,IC2_to_IC1,generalization,2,surrogate:eq1_not_representable,dimension_by_phasec_representability_threeway,3,0,0,,0,,0,3,1,0.3333333333333333,-0.9796248817541355,-625.5062525452565,-313.24293871350534,-0.0333997948899728,0.9128252919741899
fd,bic,1,0.05,2,IC2_to_IC1,generalization,2,surrogate:eq2_not_representable,dimension_by_phasec_representability_threeway,2,0,0,,0,,0,2,0,0.0,-0.32313701917624826,-1.3798208707339477,-0.8514789449550979,0.20520490660260138,0.7335468323814511
fd,bic,1,0.05,2,IC2_to_IC1,reconstruction,1,exact,dimension_by_phasec_representability_threeway,3,3,1,0.3333333333333333,1,0.3333333333333333,0,3,2,0.6666666666666666,0.9867469118995438,0.7173783137691321,0.8520626128343379,0.9927299128747934,0.998712913850043
fd,bic,1,0.05,2,IC2_to_IC1,reconstruction,1,surrogate:eq1_not_representable,dimension_by_phasec_representability_threeway,7,0,0,,0,,0,7,2,0.2857142857142857,0.8159104360747176,0.6112116849341321,0.7729680843165918,0.9049075485794666,0.995710349349935
