run_id,experiment_id,phase,hypothesis,run_type,include_in_paper,system_id,system_name,system_dim,system_representability,system_expected_stage,variant,seed,status,inferred_status,success,failure_reason,started_at,finished_at,loss,objective,exact_support_match,final_stage,stage_overshoot,wasted_levels,total_loss_evals,total_invalid_evals,elapsed_s,partial,metrics_available,corrupted
11_evogrow_v2_1_seed7,paper1_phaseA_v1,A,H1_staged_growth_efficiency,exploratory,false,11,Critical slowing down,1,exact,4,evogrow_v2_1,7,finished,finished,true,,2026-04-23T08:32:35,2026-04-23T08:32:36,4.345439813793235e-15,0.0030000000000043455,false,4,0,0,14450,0,1.0910000801086426,false,true,false
11_evogrow_v2_1_seed99,paper1_phaseA_v1,A,H1_staged_growth_efficiency,exploratory,false,11,Critical slowing down,1,exact,4,evogrow_v2_1,99,finished,finished,true,,2026-04-23T08:32:36,2026-04-23T08:32:37,4.345439813793235e-15,0.0030000000000043455,false,4,0,0,14450,0,1.0850000381469727,false,true,false
11_evogrow_v2_1_seed17,paper1_phaseA_v1,A,H1_staged_growth_efficiency,exploratory,false,11,Critical slowing down,1,exact,4,evogrow_v2_1,17,finished,finished,true,,2026-04-23T08:32:37,2026-04-23T08:32:39,4.345439813793235e-15,0.0030000000000043455,false,4,0,0,14450,0,2.009999990463257,false,true,false
11_evogrow_v2_2_stage_local_seed42,paper1_phaseA_v1,A,H1_staged_growth_efficiency,exploratory,false,11,Critical slowing down,1,exact,4,evogrow_v2_2_stage_local,42,finished,finished,true,,2026-04-23T08:32:39,2026-04-23T08:32:41,4.345439813793235e-15,0.0030000000000043455,false,4,0,0,18830,0,2.1050000190734863,false,true,false
11_evogrow_v2_2_stage_local_seed123,paper1_phaseA_v1,A,H1_staged_growth_efficiency,exploratory,false,11,Critical slowing down,1,exact,4,evogrow_v2_2_stage_local,123,finished,finished,true,,2026-04-23T08:32:41,2026-04-23T08:32:43,4.345439813793235e-15,0.0030000000000043455,false,4,0,0,18830,0,1.5240001678466797,false,true,false
11_evogrow_v2_2_stage_local_seed7,paper1_phaseA_v1,A,H1_staged_growth_efficiency,exploratory,false,11,Critical slowing down,1,exact,4,evogrow_v2_2_stage_local,7,finished,finished,true,,2026-04-23T08:32:43,2026-04-23T08:32:45,4.345439813793235e-15,0.0030000000000043455,false,4,0,0,18830,0,1.5239999294281006,false,true,false
11_evogrow_v2_2_stage_local_seed99,paper1_phaseA_v1,A,H1_staged_growth_efficiency,exploratory,false,11,Critical slowing down,1,exact,4,evogrow_v2_2_stage_local,99,finished,finished,true,,2026-04-23T08:32:45,2026-04-23T08:32:46,4.345439813793235e-15,0.0030000000000043455,false,4,0,0,18830,0,1.4520001411437988,false,true,false
11_evogrow_v2_2_stage_local_seed17,paper1_phaseA_v1,A,H1_staged_growth_efficiency,exploratory,false,11,Critical slowing down,1,exact,4,evogrow_v2_2_stage_local,17,finished,finished,true,,2026-04-23T08:32:46,2026-04-23T08:32:48,4.345439813793235e-15,0.0030000000000043455,false,4,0,0,18830,0,1.6489999294281006,false,true,false
11_evogrow_v2_2_passive_seed42,paper1_phaseA_v1,A,H1_staged_growth_efficiency,exploratory,false,11,Critical slowing down,1,exact,4,evogrow_v2_2_passive,42,finished,finished,true,,2026-04-23T08:32:48,2026-04-23T08:32:50,4.345439813793235e-15,0.0030000000000043455,false,4,0,0,18830,0,1.505000114440918,false,true,false
11_evogrow_v2_2_passive_seed123,paper1_phaseA_v1,A,H1_staged_growth_efficiency,exploratory,false,11,Critical slowing down,1,exact,4,evogrow_v2_2_passive,123,finished,finished,true,,2026-04-23T08:32:50,2026-04-23T08:32:52,4.345439813793235e-15,0.0030000000000043455,false,4,0,0,18830,0,1.6389999389648438,false,true,false
11_evogrow_v2_2_passive_seed7,paper1_phaseA_v1,A,H1_staged_growth_efficiency,exploratory,false,11,Critical slowing down,1,exact,4,evogrow_v2_2_passive,7,finished,finished,true,,2026-04-23T08:32:52,2026-04-23T08:32:53,4.345439813793235e-15,0.0030000000000043455,false,4,0,0,18830,0,1.4879999160766602,false,true,false
